rank,company_canonical,unresolved_contact_count,cumulative_contacts,cumulative_pct_of_unresolved,recruiter_count,talent_acquisition,hiring_managers,data_leaders,avg_priority_score,suggested_bucket,suggested_confidence,suggested_reason
55,ARTEVIE,3,207,8.6,0,0,0,0,19.3,,0.0,no usable signal yet — candidate for manual company mapping override
56,BANCO BMG,3,210,8.8,0,0,0,0,27.3,,0.0,no usable signal yet — candidate for manual company mapping override
57,CHANGE,3,213,8.9,0,0,0,0,28.3,,0.0,no usable signal yet — candidate for manual company mapping override
58,IMPERIAL BRANDS,2,215,9.0,0,0,0,0,19.5,,0.0,no usable signal yet — candidate for manual company mapping override
59,HRA,2,217,9.0,0,0,0,0,8.0,,0.0,no usable signal yet — candidate for manual company mapping override
60,AMORIA BOND,2,219,9.1,0,0,0,0,25.0,,0.0,no usable signal yet — candidate for manual company mapping override
61,JOHN DEERE,2,221,9.2,0,0,0,0,17.5,,0.0,no usable signal yet — candidate for manual company mapping override
62,ANA GAMING,2,223,9.3,0,0,0,0,21.0,,0.0,no usable signal yet — candidate for manual company mapping override
63,FREELANCER,2,225,9.4,0,0,0,0,15.5,,0.0,no usable signal yet — candidate for manual company mapping override
64,KANASTRA,2,227,9.5,0,0,0,0,27.5,,0.0,no usable signal yet — candidate for manual company mapping override
65,HSYSTEM,2,229,9.5,0,0,0,0,24.5,,0.0,no usable signal yet — candidate for manual company mapping override
66,EL CORTE INGLÉS,2,231,9.6,0,0,0,0,10.0,,0.0,no usable signal yet — candidate for manual company mapping override
67,CLICKHOUSE,2,233,9.7,0,0,0,0,12.0,,0.0,no usable signal yet — candidate for manual company mapping override
68,HORATIO,2,235,9.8,0,0,0,0,20.0,,0.0,no usable signal yet — candidate for manual company mapping override
69,HORIZONTAL TALENT,2,237,9.9,0,0,0,0,20.0,,0.0,no usable signal yet — candidate for manual company mapping override
70,CUSTOMERTIMES,2,239,10.0,0,0,0,0,27.0,,0.0,no usable signal yet — candidate for manual company mapping override
71,INVESTIGO,2,241,10.1,0,0,0,0,22.5,,0.0,no usable signal yet — candidate for manual company mapping override
