company_clean,connection_count,recruiter_count,hiring_mgr_count,data_leader_count,avg_priority_score,company_canonical,manual_market,manual_category,manual_notes
Bio-Rad Laboratories,2,0,0,0,13.5,BIO-RAD LABORATORIES,,,
Escola da Nuvem,2,0,0,0,15.0,ESCOLA DA NUVEM,,,
Deel,2,0,0,0,19.0,DEEL,,,
Customertimes,2,0,0,0,27.0,CUSTOMERTIMES,,,
Innova-tsn,2,0,0,0,24.5,INNOVA-TSN,,,
A-Players,2,0,0,0,31.0,A-PLAYERS,,,
Elevation Partners,2,0,0,0,22.0,ELEVATION PARTNERS,,,
Kanastra,2,0,0,0,27.5,KANASTRA,,,
Escale,2,0,0,0,21.0,ESCALE,,,
Getnet,2,0,0,0,17.0,GETNET,,,
Equinix,2,0,0,0,15.5,EQUINIX,,,
El Corte Inglés,2,0,0,0,10.0,EL CORTE INGLÉS,,,
GM Financial,2,0,0,0,28.5,GM FINANCIAL,,,
Falconi,2,0,0,0,27.0,FALCONI,,,
Horizontal Talent,2,0,0,0,20.0,HORIZONTAL TALENT,,,
Fadel Transportes e Logística,2,0,0,0,20.0,FADEL TRANSPORTES E LOGÍSTICA,,,
Horatio,2,0,0,0,20.0,HORATIO,,,
Grupo 3corações,2,0,0,0,22.0,GRUPO 3CORAÇÕES,,,
IBGE,2,0,0,0,21.0,IBGE,,,
Grupo Vorp,2,0,0,0,10.0,GRUPO VORP,,,
Aliare,2,0,0,0,21.0,ALIARE,,,
FYGI,2,0,0,0,15.5,FYGI,,,
John Deere,2,0,0,0,17.5,JOHN DEERE,,,
Investigo,2,0,0,0,22.5,INVESTIGO,,,
Highspring,2,0,0,0,22.0,HIGHSPRING,,,
Klanik,2,0,0,0,25.5,KLANIK,,,
CAST,2,0,0,0,16.5,CAST,,,
Caveo,2,0,0,0,27.5,CAVEO,,,
BASF,2,0,0,0,20.0,BASF,,,
Eurofirms Group | People first,2,0,0,0,24.0,EUROFIRMS | PEOPLE FIRST,,,
LYNK Human Capital,2,0,0,0,22.0,LYNK HUMAN CAPITAL,,,
CACEIS,2,0,0,0,16.5,CACEIS,,,
Etteplan,2,0,0,0,15.0,ETTEPLAN,,,
Gravitas Recruitment Group (Global) Ltd,2,0,0,0,31.5,GRAVITAS RECRUITMENT (),,,
Graphite,2,0,0,0,24.5,GRAPHITE,,,
E-IT,2,0,0,0,17.5,E-IT,,,
Infleet - Gestão de Frotas,2,0,0,0,17.5,INFLEET - GESTÃO DE FROTAS,,,
Empacar S.A,2,0,0,0,19.0,EMPACAR,,,
Apter,2,0,0,0,12.5,APTER,,,
Computer Futures,2,0,0,0,29.0,COMPUTER FUTURES,,,
Justos,2,0,0,0,26.0,JUSTOS,,,
Infinite Computer Solutions,2,0,0,0,23.0,INFINITE COMPUTER,,,
Avenue Code,2,0,0,0,16.0,AVENUE CODE,,,
Danone,2,0,0,0,18.5,DANONE,,,
Haleon,2,0,0,0,19.5,HALEON,,,
JLink connecting experts GmbH,2,0,0,0,18.0,JLINK CONNECTING EXPERTS,,,
Benner,2,0,0,0,19.0,BENNER,,,
HSystem,2,0,0,0,24.5,HSYSTEM,,,
Agibank,2,0,0,0,19.0,AGIBANK,,,
Lighthouse,2,0,0,0,30.0,LIGHTHOUSE,,,
Luby,2,0,0,0,26.5,LUBY,,,
Loft,2,0,0,0,21.5,LOFT,,,
Magnit Global,2,0,0,0,30.5,MAGNIT,,,
Maxxi,2,0,0,0,19.5,MAXXI,,,
Mondelēz International,2,0,0,0,30.0,MONDELĒZ INTERNATIONAL,,,
NVB Innovation Business,2,0,0,0,29.0,NVB INNOVATION BUSINESS,,,
Mycon,2,0,0,0,16.5,MYCON,,,
Nelson Wilians Advogados,2,0,0,0,24.0,NELSON WILIANS ADVOGADOS,,,
Nexer Enterprise Applications,2,0,0,0,22.5,NEXER ENTERPRISE APPLICATIONS,,,
Novartis,2,0,0,0,24.5,NOVARTIS,,,
Novacomp,2,0,0,0,22.5,NOVACOMP,,,
Nortrez,2,0,0,0,26.0,NORTREZ,,,
Nordex Group,2,0,0,0,19.0,NORDEX,,,
Nomad,2,0,0,0,25.0,NOMAD,,,
OPmobility,2,0,0,0,21.5,OPMOBILITY,,,
Opah IT,2,0,0,0,18.5,OPAH IT,,,
Oliver James,2,0,0,0,22.0,OLIVER JAMES,,,
PROPOSITO Human Capital Solutions,2,0,0,0,18.5,PROPOSITO HUMAN CAPITAL,,,
Peak One GmbH,2,0,0,0,30.0,PEAK ONE,,,
Paytrack,2,0,0,0,24.5,PAYTRACK,,,
Palantec GmbH,2,0,0,0,23.0,PALANTEC,,,
PepsiCo,2,0,0,0,29.5,PEPSICO,,,
Pipefy,2,0,0,0,25.5,PIPEFY,,,
Phiture,2,0,0,0,25.0,PHITURE,,,
Philip Morris International,2,0,0,0,25.5,PHILIP MORRIS INTERNATIONAL,,,
Petrobahia S.A,2,0,0,0,7.5,PETROBAHIA,,,
Positivo Tecnologia,2,0,0,0,26.5,POSITIVO TECNOLOGIA,,,
Prefeitura de Cubatão,2,0,0,0,12.0,PREFEITURA DE CUBATÃO,,,
Projective Talent | Part of Projective Group,2,0,0,0,15.5,PROJECTIVE TALENT | PART OF PROJECTIVE,,,
Programmers,2,0,0,0,16.0,PROGRAMMERS,,,
QSOFT,2,0,0,0,26.0,QSOFT,,,
Pythian,2,0,0,0,31.0,PYTHIAN,,,
RED Global,2,0,0,0,33.0,RED,,,
Quantik,2,0,0,0,24.0,QUANTIK,,,
Radix,2,0,0,0,19.5,RADIX,,,
RecargaPay,2,0,0,0,31.5,RECARGAPAY,,,
Revelo,2,0,0,0,23.5,REVELO,,,
ResourceTree Global Services,2,0,0,0,29.0,RESOURCETREE,,,
Reply,2,0,0,0,22.0,REPLY,,,
Royal Caribbean Group,2,0,0,0,33.0,ROYAL CARIBBEAN,,,
Rox Partner,2,0,0,0,24.0,ROX PARTNER,,,
Roche,2,0,0,0,22.0,ROCHE,,,
Riverstate Premium Recruiting,2,0,0,0,25.0,RIVERSTATE PREMIUM RECRUITING,,,
SUBSCRIBE,2,0,0,0,15.0,SUBSCRIBE,,,
SNGULAR,2,0,0,0,32.0,SNGULAR,,,
Sanofi,2,0,0,0,13.0,SANOFI,,,
SiDi,2,0,0,0,23.5,SIDI,,,
Softys,2,0,0,0,27.0,SOFTYS,,,
Softplan,2,0,0,0,21.0,SOFTPLAN,,,
Sofist,2,0,0,0,24.0,SOFIST,,,
Sparkassen-Personalberatung GmbH,2,0,0,0,12.0,SPARKASSEN-PERSONALBERATUNG,,,
Starian,2,0,0,0,25.0,STARIAN,,,
Splash,2,0,0,0,25.0,SPLASH,,,
Swap,2,0,0,0,31.5,SWAP,,,
SulAmérica,2,0,0,0,30.0,SULAMÉRICA,,,
SysManager,2,0,0,0,17.5,SYSMANAGER,,,
Syngenta,2,0,0,0,16.0,SYNGENTA,,,
TECNOMEC ENGINEERING SRL,2,0,0,0,22.0,TECNOMEC ENGINEERING SRL,,,
Takeda,2,0,0,0,20.0,TAKEDA,,,
TPC Logística Inteligente,2,0,0,0,13.0,TPC LOGÍSTICA INTELIGENTE,,,
Talention,2,0,0,0,18.0,TALENTION,,,
Tenth Revolution Group,2,0,0,0,23.5,TENTH REVOLUTION,,,
TimePartner Personalmanagement GmbH,2,0,0,0,15.5,TIMEPARTNER PERSONALMANAGEMENT,,,
TikTok,2,0,0,0,14.5,TIKTOK,,,
Trillia,2,0,0,0,20.5,TRILLIA,,,
Uncover,2,0,0,0,22.5,UNCOVER,,,
ValueNet Group,2,0,0,0,17.0,VALUENET,,,
Vestas,2,0,0,0,8.0,VESTAS,,,
Vericode,2,0,0,0,25.0,VERICODE,,,
WAYON IT Solutions,2,0,0,0,23.5,WAYON IT,,,
Volvo Group,2,0,0,0,34.0,VOLVO,,,
Weatherford,2,0,0,0,16.0,WEATHERFORD,,,
