company_clean,connection_count,avg_priority_score,top_persona
A-Players,2,28.0,HR
🇬🇹 IntegRHa Talento,1,17.0,HR
"""Uzbek Industrial and Construction Bank"" JSCB",1,24.0,Other
#ONO (Open to New Opportunities),1,25.0,Other
&V Recruitment,1,15.0,Other
++hellohello,1,22.0,Other
+A Educação,1,18.0,Other
marco,1,24.0,HR
malomatia,1,25.0,Consultant
mSupply,1,18.0,Other
latex,1,18.0,Other
knowmad mood,1,19.0,Consultant
klavi,1,18.0,Other
itscout365,1,12.0,Other
isolutions AG,1,20.0,Other
interpool,1,25.0,Consultant
inovex GmbH,1,15.0,Other
inVentiv,1,12.0,Other
ilegra,1,17.0,HR
ieTeam Consultores,1,19.0,Consultant
iUNGO,1,17.0,HR
iCube - Direction informatique Castel,1,18.0,Other
iBoost Talent Raleigh South,1,22.0,Other
BARMER,1,22.0,Other
BAE Systems,1,11.0,Other
BAC Credomatic,1,22.0,Other
B&M Personalvermittlung,1,12.0,Other
Azuris Company,1,27.0,Data Engineer
Azion,1,22.0,Other
Axpo Group,1,23.0,Other
Axians,1,26.0,Other
®CS Global IT ☁,1,43.0,Data Engineer
yellow.rec,1,25.0,Other
wehandle,1,26.0,Data Scientist
valantic,1,25.0,Other
univativ GmbH,1,25.0,Consultant
tweeaconnect,1,15.0,Other
toom Baumarkt,1,12.0,Other
tilli,1,18.0,Other
Bachpan Save The Innocence,1,8.0,Other
BUTTER. GmbH,1,12.0,Other
BROSETA,1,12.0,Other
BRINK Group,1,25.0,Consultant
BOMIX INDÚSTRIA DE EMBALAGENS LTDA,1,18.0,Other
BMNS,1,31.0,HR
BMN Nederland,1,12.0,Other
BM VAGAS,1,8.0,Other
BM GROUP Bolivia,1,16.0,Other
BLUST | Consultora Boutique de Personas y Talento,1,19.0,Consultant
BIGZON,1,25.0,Consultant
BIGSEO,1,28.0,HR
BI4ALL,1,19.0,Consultant
BESTSECRET Group,1,17.0,HR
BC Mentoria,1,8.0,Other
BBC Carreira & RH,1,15.0,Consultant
Bankhaus Metzler,1,12.0,Other
Bankaool,1,24.0,HR
Banistmo,1,18.0,Other
Banff Lodging Company,1,25.0,Other
Banco del Sol,1,14.0,Other
Banco de Seguros del Estado,1,12.0,Other
Banco Sofisa S/A,1,8.0,Other
Banco Rendimento,1,13.0,Project / Program Manager
Banco Promerica Guatemala,1,8.0,Other
Banco PAN,1,23.0,Data Engineer
Banco Internacional,1,31.0,Other
Banco BS2,1,12.0,Other
BanBajío,1,12.0,Other
Balanz Uruguay,1,40.0,Other
Baku Heritage Tours - DMC,1,8.0,Other
BackpackingIT,1,25.0,Consultant
Bee Engineering ICT,1,22.0,Other
Beatriz Herdy,1,13.0,Other
Beach Bum,1,25.0,Other
BeSmart Corp,1,25.0,Other
BeNEX Akademie GmbH & Co. KG,1,12.0,Other
Be Intelligence,1,12.0,Other
Bayes Esports,1,25.0,Software Engineer
Baxter International Inc,1,23.0,Operations
Baugesellschaft Hanau GmbH,1,12.0,Other
Bathildisheim e.V,1,12.0,Other
Baterias Pioneiro,1,22.0,Other
Basicfox,1,12.0,Other
Basecone,1,36.0,Data Engineer
Bark.com,1,23.0,Other
Baril Advogados,1,19.0,Other
Bankme,1,12.0,Other
Blackstraw,1,19.0,Software Engineer
Black Cat Services,1,12.0,Other
Bits&Cream,1,34.0,HR
Birdie,1,18.0,Other
Bind México,1,34.0,HR
Billie,1,25.0,Software Engineer
Bildungsreif,1,12.0,Other
"BiDATiA, el poder del dato",1,26.0,Other
Bi Smart,1,35.0,Data Engineer
Bettermile,1,21.0,HR
Better Collective,1,27.0,Data Engineer
Bernoulli Educação,1,8.0,Other
Berger Bau- und Industriebedarf GmbH,1,12.0,Other
Bending Spoons,1,22.0,Other
Bemobi,1,12.0,Other
Belastingdienst,1,15.0,Other
Branching Minds,1,33.0,Data Engineer
Bracell,1,9.0,Operations
Bouwhuysch,1,12.0,Other
Bosonit,1,27.0,Data Engineer
Bosch Rexroth,1,27.0,HR
Bondalti,1,25.0,Other
Bond Global,1,50.0,Other
Bombril,1,18.0,Other
Bombon Boss,1,25.0,Other
Bold.co,1,18.0,Other
Bold Talent Co,1,15.0,Consultant
Bold Metrics Inc,1,24.0,Data Scientist
Boen Groen,1,12.0,Other
Bluhm Systeme GmbH,1,18.0,Other
Bluer Tecnologia,1,12.0,Other
BlueCross & BlueShield de Uruguay,1,37.0,Other
CARE Vision Augenkliniken,1,12.0,Other
C3 Engenharia & Soluções,1,7.0,Other
Büsser & Zeidler AG,1,12.0,Other
Bunge,1,12.0,Other
Bundesagentur für Arbeit,1,12.0,Other
BuildUp,1,12.0,Other
Brown-Forman,1,13.0,Operations
Brown & McCrow,1,25.0,Consultant
Brooks Automation,1,39.0,Data Analyst
Broker IA,1,19.0,Consultant
Brightman. IT Recruiting Agency,1,21.0,Other
Bridgenext,1,31.0,HR
Bridge & Co,1,8.0,Other
BredenMaster,1,12.0,Other
Bravos Energía,1,23.0,HR
Bravia RH I Gestão Estratégica de Pessoas,1,19.0,Consultant
CLIDAL,1,8.0,Other
"CLI - Integração, IA, Tax, Dados",1,21.0,HR
CJ Recruitment,1,28.0,Consultant
CIEE - Centro de Integração Empresa-Escola,1,8.0,Other
CIB Egypt,1,12.0,Other
CHS América do Sul,1,27.0,HR
CGS Consultores Reclutamiento de Personal,1,19.0,Consultant
CEVA SAUDE ANIMAL,1,19.0,Other
CETENE,1,8.0,Other
CERN,1,7.0,Other
CENTURY 21 Nações,1,22.0,Consultant
CEMPRE Uruguay,1,52.0,Project / Program Manager
CEMA Construções e Tecnologia,1,18.0,Other
CEERT Equidade Racial e de Gênero,1,12.0,Other
CConecta RH,1,19.0,Consultant
CARNES RIKATAS,1,15.0,Other
CUBE,1,29.0,HR
CTS EVENTIM AG & Co. KGaA,1,20.0,Other
CSN - Companhia Siderúrgica Nacional,1,8.0,Other
CRS Hospital Provincia Cordillera,1,12.0,Other
CPqD,1,24.0,Data Analyst
CPQD,1,8.0,Other
COSEM IAMPP,1,15.0,Other
COS Global Services,1,25.0,Consultant
CORVUS UTV,1,34.0,HR
COREX Logistics,1,32.0,HR
CONTALENTO Strategy For People,1,30.0,HR
CONEXIONHR - Recruiting Company,1,15.0,Other
CONAPROLE,1,22.0,Other
COCUS,1,23.0,Other
CMO Vendas,1,8.0,Other
CLIMB,1,22.0,Consultant
Career Today,1,24.0,HR
Career Rebels,1,12.0,Other
Care&Co Uy,1,12.0,Other
CaptivateIQ,1,23.0,Product
Capriole Coffee Service | B Corp™,1,12.0,Other
Capri Partners,1,19.0,Consultant
Capital Vision,1,15.0,Other
Cantinho da Hora Mini Mercado,1,15.0,Consultant
CandyCo LLC,1,24.0,HR
Canadian Solar Inc,1,12.0,Other
Camil Alimentos S/A,1,18.0,Other
Cambridge Family Enterprise Group (CFEG),1,8.0,Other
Cambium Assessment,1,23.0,Project / Program Manager
Caja Los Andes,1,12.0,Other
Caffeine Army,1,13.0,Operations
Cactus,1,24.0,HR
Auten Energy - Energia Compartilhada,1,12.0,Other
Auria,1,15.0,Other
Aurean Blue,1,22.0,Other
Aulas particulares,1,8.0,Other
Catenon,1,14.0,Other
Catalyze Group,1,12.0,Other
Cataguá Capitólio,1,17.0,HR
CashMe,1,12.0,Other
Cash Flow Positif,1,12.0,Other
Casa e Campo produtos agropecuários LTDA,1,8.0,Other
Casa dos Ventos Energias Renováveis,1,26.0,Other
Caru Moràlles | Gestão de Pessoas e Carreiras,1,21.0,HR
Carreira Z,1,19.0,Consultant
Caritasverband für den Landkreis Weilheim-Schongau e.V,1,8.0,Other
Cargoo,1,27.0,HR
Cargill,1,8.0,Other
Cegedim,1,18.0,Other
Cecotec,1,17.0,HR
Caylent,1,27.0,Data Engineer
Cayena,1,33.0,Data Engineer
Cavalo Marinho Combustíveis Ltda,1,8.0,Other
Axial Structural Solutions,1,25.0,Other
Awalé Resources,1,8.0,Other
Avvale,1,36.0,Data Engineer
Avra,1,16.0,Other
Avito,1,16.0,Other
Avenue,1,11.0,Other
Aventa Solutions,1,15.0,Consultant
Avanza,1,21.0,Other
Avant Business Services,1,11.0,Other
Autónomo,1,12.0,Other
Autoliv,1,21.0,Other
Cheil Worldwide,1,27.0,HR
Checkmob,1,17.0,Operations
Chassé Theater,1,12.0,Other
Change Recruitment,1,25.0,Consultant
Cesla,1,23.0,Other
Certta,1,23.0,Product
Certivity,1,27.0,HR
CerradinhoBio,1,17.0,HR
Cere Network,1,25.0,Software Engineer
Ceramica Santana De Alagoinhas,1,8.0,Other
Ceox Services Ltd,1,26.0,Other
Centro Universitário FMU | FIAM-FAAM,1,12.0,Other
Centro Médico Militar rimac,1,15.0,Other
Centience,1,12.0,Other
Cella,1,20.0,Other
Cegedim Service Center,1,21.0,Other
Clínica Athos,1,12.0,Other
ClyntonBoss,1,24.0,Data Analyst
Clubio FST,1,18.0,Other
