company_clean,count,avg_priority,top_persona,top_market
Nestlé,7,25.9,Other,UNKNOWN
Ambev,7,11.6,Other,UNKNOWN
F1RST Digital Services,7,22.1,Other,UNKNOWN
Cognizant,7,40.4,Other,UNKNOWN
banco BV,7,21.6,Data Analyst,UNKNOWN
Profesional independiente,7,25.0,Other,UNKNOWN
TIM Brasil,7,28.9,Other,BRAZIL
Dasa,7,26.9,HR,UNKNOWN
Construtora Tenda,7,25.1,Other,UNKNOWN
Indicium,7,40.7,Data Engineer,BRAZIL
Capco,7,29.1,Data Engineer,UNKNOWN
AltoQi,7,25.6,Other,UNKNOWN
Walmart Chile,7,45.6,Other,LATAM_USD
Uber,7,33.0,Recruiter,UNKNOWN
Vivo (Telefônica Brasil),7,27.0,Other,BRAZIL
Natura,7,25.3,Other,UNKNOWN
Ford Brasil,7,18.3,Other,BRAZIL
Hotmart,7,34.4,Data Engineer,UNKNOWN
"NTT DATA, Inc",6,35.5,Data Engineer,UNKNOWN
TQI,6,27.5,Other,UNKNOWN
TP,6,30.8,Other,UNKNOWN
Infosys,6,37.0,Other,UNKNOWN
BCG X,6,36.0,Data Engineer,UNKNOWN
Inetum,6,38.0,Talent Acquisition,UNKNOWN
Suzano,6,17.5,HR,UNKNOWN
Superlógica Tecnologias,6,35.0,Director,UNKNOWN
Ipiranga,6,22.5,Other,UNKNOWN
Concentrix,6,57.5,Talent Acquisition,UNKNOWN
ExxonMobil,6,32.7,Data Engineer,UNKNOWN
Hire With Near,6,34.0,Sourcer,UNKNOWN
HelloFresh,6,42.8,Talent Acquisition,UNKNOWN
Maxxi,6,28.5,Other,UNKNOWN
Indra,6,55.7,HR,SPAIN_EU
Banco Bmg,6,28.7,Other,UNKNOWN
Guidance,6,28.8,HR,UNKNOWN
DB,6,22.0,Data Engineer,UNKNOWN
Athyna,6,40.5,Talent Acquisition,UNKNOWN
Raízen,6,21.0,Other,UNKNOWN
emagine,6,33.8,Other,UNKNOWN
Dev.Pro,6,37.8,Recruiter,UNKNOWN
Citi,6,27.5,Data Analyst,UNKNOWN
Flutter Brazil,6,35.7,Other,BRAZIL
Porto,6,46.8,Other,SPAIN_EU
adesso SE,6,52.0,Machine Learning / AI,EUROPE
Petrobras,6,29.5,Other,BRAZIL
Equifax,6,43.3,HR,UNKNOWN
Petlove,6,23.3,Data Analyst,UNKNOWN
PagBank,6,25.7,Other,BRAZIL
LHH,6,34.0,Consultant,UNKNOWN
Opah IT,6,28.7,Other,UNKNOWN
Truelogic Software,6,52.0,Talent Acquisition,UNKNOWN
Grupo MAG,6,13.7,Other,UNKNOWN
Boston Consulting Group (BCG),6,61.3,Consultant,US_CANADA_NEARSHORE
BYD Auto Brasil,6,17.7,Other,BRAZIL
Jump,6,26.8,Data Engineer,UNKNOWN
Bracell,6,21.7,Other,UNKNOWN
Taylor Hopkinson | Powered by Brunel,6,22.2,Consultant,UNKNOWN
DP6,6,32.5,Other,UNKNOWN
Deutsche Bank,5,36.4,Other,UNKNOWN
Kienbaum,5,23.6,Other,UNKNOWN
C6 Bank,5,36.2,Other,BRAZIL
Leega,5,23.8,Data Engineer,UNKNOWN
DOJO - Smart Ways,5,34.6,Director,UNKNOWN
Bradesco Seguros,5,29.6,Other,BRAZIL
LUZA Group,5,25.0,Other,UNKNOWN
Teleperformance,5,37.2,Other,UNKNOWN
Mercado Livre Brasil,5,31.6,Software Engineer,BRAZIL
SAUTER,5,31.8,HR,UNKNOWN
Oliver James,5,39.6,Director,UNKNOWN
Self Employed,5,23.8,Consultant,UNKNOWN
Clan,5,31.2,Other,UNKNOWN
Data Mundo,5,38.6,Data Analyst,UNKNOWN
SEIDOR,5,61.4,Talent Acquisition,SPAIN_EU
