company_clean,connection_count,recruiter_count,talent_count,hiring_manager_count,data_leader_count,data_peer_count,avg_priority_score,top_persona,top_area,strategic_potential,suggested_market,suggested_confidence,suggested_reason,manual_market,manual_category,manual_notes
Genesys Chile,1,0,0,0,0,0,40.0,Other,Other,20.1,LATAM_USD,HIGH,company name contains geographic keyword: 'chile',,,
Heel Colombia,1,0,0,0,0,0,40.0,Other,Other,20.1,LATAM_USD,HIGH,company name contains geographic keyword: 'colombia',,,
IESLA - Instituto de Educação Superior Latinoamericano,1,0,0,0,0,0,40.0,Other,Other,20.1,BRAZIL,HIGH,company name contains geographic keyword: 'rio',,,
OXXO Chile,1,0,0,0,0,0,40.0,Other,Other,20.1,LATAM_USD,HIGH,company name contains geographic keyword: 'chile',,,
Quiero ser Voluntario Chile,1,0,0,0,0,0,40.0,Other,Other,20.1,BRAZIL,HIGH,company name contains geographic keyword: 'rio',,,
Teamwork Chile,1,0,0,0,0,0,40.0,Other,Other,20.1,LATAM_USD,HIGH,company name contains geographic keyword: 'chile',,,
VITALY,1,0,0,0,0,0,40.0,HR,HR,20.1,EUROPE,HIGH,company name contains geographic keyword: 'italy',,,
Canada Life UK,1,0,0,0,0,0,39.0,Other,Other,19.6,EUROPE,HIGH,company name contains geographic keyword: 'uk',,,
EBM Desenvolvimento Imobiliário,1,0,0,0,0,0,39.0,Other,Other,19.6,BRAZIL,HIGH,company name contains geographic keyword: 'rio',,,
EBPÓS-Escola Brasileira de Pós-Graduação,1,0,0,0,0,0,39.0,HR,HR,19.6,BRAZIL,HIGH,company name contains geographic keyword: 'brasil',,,
smart Europe GmbH,2,0,0,0,1,0,34.5,Head of Data,Management,19.4,EUROPE,HIGH,company name contains geographic keyword: 'europe',,,
Metalfrio Solutions,1,0,0,0,0,0,38.0,Other,Other,19.1,BRAZIL,HIGH,company name contains geographic keyword: 'rio',,,
SA365 Portugal,1,0,0,0,0,0,38.0,Other,Other,19.1,EUROPE,HIGH,company name contains geographic keyword: 'portugal',,,
SDG Group España,1,0,0,0,0,0,38.0,Other,Other,19.1,SPAIN_EU,HIGH,company name contains geographic keyword: 'españa',,,
T1 Digital Consultants Limited | UK's Top Rated Global Talent Visa Endorsement Experts,1,0,0,0,0,0,38.0,Consultant,Consulting,19.1,EUROPE,HIGH,company name contains geographic keyword: 'uk',,,
Buk,1,0,0,0,0,0,37.0,Other,Other,18.6,EUROPE,HIGH,company name contains geographic keyword: 'uk',,,
Universidad Externado de Colombia,1,0,0,0,0,0,37.0,Other,Other,18.6,LATAM_USD,HIGH,company name contains geographic keyword: 'colombia',,,
Clarios,2,0,1,0,0,0,31.5,Other,Management,18.4,BRAZIL,HIGH,company name contains geographic keyword: 'rio',,,
Infraestruturas de Portugal,1,0,0,0,0,0,36.0,Other,Other,18.1,EUROPE,HIGH,company name contains geographic keyword: 'portugal',,,
Lapônia - Concessionário de Caminhões e Chassis de Ônibus Volvo,1,0,0,0,0,0,35.0,HR,Management,17.6,BRAZIL,HIGH,company name contains geographic keyword: 'rio',,,
Rioquímica S.A,3,0,0,0,1,0,30.0,HR,HR,17.3,BRAZIL,HIGH,company name contains geographic keyword: 'rio',,,
Aché Laboratórios Farmacêuticos,2,0,0,0,0,0,34.0,HR,Management,17.2,BRAZIL,HIGH,company name contains geographic keyword: 'rio',,,
4it Recruitment,1,0,0,0,0,0,34.0,Other,Other,17.1,GLOBAL_STAFFING,HIGH,company name contains staffing keyword: 'it recruitment',,,
BEW Berliner Energie und Wärme GmbH,1,0,0,0,0,0,34.0,Other,Other,17.1,EUROPE,HIGH,company name contains geographic keyword: 'berlin',,,
EUROMANAGER - Executive Search,1,0,0,0,0,0,34.0,HR,Consulting,17.1,GLOBAL_STAFFING,HIGH,company name contains staffing keyword: 'executive search',,,
Lírio do Vale Distribuidora de Artigos Religiosos,1,0,0,0,0,1,33.0,Data Analyst,Analytics,16.6,BRAZIL,HIGH,company name contains geographic keyword: 'rio',,,
Universidade do Vale do Rio dos Sinos,1,0,0,0,0,1,33.0,Machine Learning / AI,Data Science / AI,16.6,BRAZIL,HIGH,company name contains geographic keyword: 'rio',,,
European Society of Radiology,1,0,0,0,0,0,32.0,HR,Management,16.1,EUROPE,HIGH,company name contains geographic keyword: 'europe',,,
BP - A Beneficência Portuguesa de São Paulo,1,0,0,0,0,0,31.0,Other,Management,15.6,BRAZIL,HIGH,company name contains geographic keyword: 'são paulo',,,
Berliner Verkehrsbetriebe (BVG),1,0,0,0,0,0,31.0,Other,Other,15.6,EUROPE,HIGH,company name contains geographic keyword: 'berlin',,,
Brasilprev,1,0,0,0,0,0,31.0,Other,Management,15.6,BRAZIL,HIGH,company name contains geographic keyword: 'brasil',,,
CBSI - Companhia Brasileira de Serviços de Infraestrutura,1,0,0,0,0,0,31.0,Other,Other,15.6,BRAZIL,HIGH,company name contains geographic keyword: 'brasil',,,
DPD Portugal,1,0,0,0,0,0,31.0,Other,Other,15.6,EUROPE,HIGH,company name contains geographic keyword: 'portugal',,,
SKILLUP (Ukraine),1,0,0,0,0,0,31.0,Other,Other,15.6,EUROPE,HIGH,company name contains geographic keyword: 'uk',,,
Schwarz Produktion,1,0,0,0,0,0,31.0,Other,Other,15.6,EUROPE,HIGH,company name contains geographic keyword: 'uk',,,
Zukunftsagenten GmbH,1,0,0,0,0,0,31.0,Other,Other,15.6,EUROPE,HIGH,company name contains geographic keyword: 'uk',,,
Azul Linhas Aéreas Brasileiras,3,0,0,0,0,1,30.3,Other,Analytics,15.4,BRAZIL,HIGH,company name contains geographic keyword: 'brasil',,,
Grife Desenvolvimento Imobiliário,1,0,0,0,0,0,30.0,HR,HR,15.1,BRAZIL,HIGH,company name contains geographic keyword: 'rio',,,
Uklon,1,0,0,0,0,0,30.0,Other,Other,15.1,EUROPE,HIGH,company name contains geographic keyword: 'uk',,,
TechNET IT Recruitment Ltd,1,0,0,0,0,0,29.0,Consultant,Consulting,14.6,GLOBAL_STAFFING,HIGH,company name contains staffing keyword: 'it recruitment',,,
Memorial Park - Parque Cementerio,1,0,0,0,0,0,28.0,HR,HR,14.1,BRAZIL,HIGH,company name contains geographic keyword: 'rio',,,
NWS Executive Search,1,0,0,0,0,0,28.0,Consultant,Consulting,14.1,GLOBAL_STAFFING,HIGH,company name contains staffing keyword: 'executive search',,,
Secretaria Municipal da Saúde de São Paulo,1,0,0,0,0,0,28.0,Consultant,Consulting,14.1,BRAZIL,HIGH,company name contains geographic keyword: 'são paulo',,,
Autônomo / Projetos próprios,1,0,0,0,0,1,27.0,Data Engineer,Data Engineering,13.6,BRAZIL,HIGH,company name contains geographic keyword: 'rio',,,
